canonical_instrument_id,symbol,event_date,action_type,raw_factor,cumulative_backward_factor,volume_factor,factor_confidence,source_event_id,methodology_version,review_status
NSE:HARDWYN:EQ,HARDWYN,2023-06-05,STOCK_SPLIT,0.1,0.05102040816326530612244897959,10,VERIFIED_OFFICIAL,nse-ca-205c79f264e3ddc8,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HARDWYN:EQ,HARDWYN,2023-06-05,BONUS,0.75,0.03826530612244897959183673469,1.333333333333333333333333333,VERIFIED_OFFICIAL,nse-ca-39e711258782929d,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HARDWYN:EQ,HARDWYN,2024-12-27,BONUS,0.7142857142857142857142857143,0.5102040816326530612244897959,1.4,VERIFIED_OFFICIAL,nse-ca-6ee89034b5f23333,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HARDWYN:EQ,HARDWYN,2026-07-28,BONUS,0.7142857142857142857142857143,0.7142857142857142857142857143,1.4,VERIFIED_OFFICIAL,nse-ca-1eeecdf761aa3f71,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HDFCAMC:EQ,HDFCAMC,2025-11-26,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-b63bef76af5373d9,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HDFCBANK:EQ,HDFCBANK,2025-08-26,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-c1d6768b3544bb8c,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HEG:EQ,HEG,2024-10-18,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-a0a159395416689d,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HGS:EQ,HGS,2022-02-22,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-ea5656fb399a2745,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HINDCON:EQ,HINDCON,2023-11-10,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-32c5931f873c42c2,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HINDPETRO:EQ,HINDPETRO,2024-06-21,BONUS,0.6666666666666666666666666667,0.6666666666666666666666666667,1.5,VERIFIED_OFFICIAL,nse-ca-e33e41741315347c,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
